medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Bronze,3,,FONSECA J,FONSECA Jorge,M,../../../en/results/judo/athlete-profile-n1465988-fonseca-jorge.htm,POR,Men -100 kg,Portugal,Judo
Gold,1,,HAMADA S,HAMADA Shori,W,../../../en/results/judo/athlete-profile-n1315330-hamada-shori.htm,JPN,Women -78 kg,Japan,Judo
Silver,2,,MALONGA M,MALONGA Madeleine,W,../../../en/results/judo/athlete-profile-n1403700-malonga-madeleine.htm,FRA,Women -78 kg,France,Judo
Bronze,3,,AGUIAR M,AGUIAR Mayra,W,../../../en/results/judo/athlete-profile-n1338146-aguiar-mayra.htm,BRA,Women -78 kg,Brazil,Judo
Bronze,3,,WAGNER AM,WAGNER Anna-Maria,W,../../../en/results/judo/athlete-profile-n1326845-wagner-anna-maria.htm,GER,Women -78 kg,Germany,Judo
Gold,1,,Mc CARTHY F,Mc CARTHY Fintan,M,../../../en/results/rowing/athlete-profile-n1281625-mc-carthy-fintan.htm,IRL,Lightweight Men's Double Sculls,Ireland,Rowing
Gold,1,,O'DONOVAN P,O'DONOVAN Paul,M,../../../en/results/rowing/athlete-profile-n1319846-o-donovan-paul.htm,IRL,Lightweight Men's Double Sculls,Ireland,Rowing
Silver,2,,ROMMELMANN J,ROMMELMANN Jonathan,M,../../../en/results/rowing/athlete-profile-n1331598-rommelmann-jonathan.htm,GER,Lightweight Men's Double Sculls,Germany,Rowing
Silver,2,,OSBORNE J,OSBORNE Jason,M,../../../en/results/rowing/athlete-profile-n1331591-osborne-jason.htm,GER,Lightweight Men's Double Sculls,Germany,Rowing
Bronze,3,,OPPO S,OPPO Stefano,M,../../../en/results/rowing/athlete-profile-n1321393-oppo-stefano.htm,ITA,Lightweight Men's Double Sculls,Italy,Rowing
Bronze,3,,RUTA P,RUTA Pietro,M,../../../en/results/rowing/athlete-profile-n1321413-ruta-pietro.htm,ITA,Lightweight Men's Double Sculls,Italy,Rowing
Gold,1,,CESARINI F,CESARINI Federica,W,../../../en/results/rowing/athlete-profile-n1321401-cesarini-federica.htm,ITA,Lightweight Women's Double Sculls,Italy,Rowing
Gold,1,,RODINI V,RODINI Valentina,W,../../../en/results/rowing/athlete-profile-n1321403-rodini-valentina.htm,ITA,Lightweight Women's Double Sculls,Italy,Rowing
Silver,2,,BOVE C,BOVE Claire,W,../../../en/results/rowing/athlete-profile-n1325549-bove-claire.htm,FRA,Lightweight Women's Double Sculls,France,Rowing
Silver,2,,TARANTOLA L,TARANTOLA Laura,W,../../../en/results/rowing/athlete-profile-n1325578-tarantola-laura.htm,FRA,Lightweight Women's Double Sculls,France,Rowing
Bronze,3,,KEIJSER M,KEIJSER Marieke,W,../../../en/results/rowing/athlete-profile-n1476561-keijser-marieke.htm,NED,Lightweight Women's Double Sculls,Netherlands,Rowing
Bronze,3,,PAULIS I,PAULIS Ilse,W,../../../en/results/rowing/athlete-profile-n1476568-paulis-ilse.htm,NED,Lightweight Women's Double Sculls,Netherlands,Rowing
Gold,1,,SINKOVIC M,SINKOVIC Martin,M,../../../en/results/rowing/athlete-profile-n1327804-sinkovic-martin.htm,CRO,Men's Pair,Croatia,Rowing
Gold,1,,SINKOVIC V,SINKOVIC Valent,M,../../../en/results/rowing/athlete-profile-n1456414-sinkovic-valent.htm,CRO,Men's Pair,Croatia,Rowing
Silver,2,,COZMIUC M,COZMIUC Marius,M,../../../en/results/rowing/athlete-profile-n1285995-cozmiuc-marius.htm,ROU,Men's Pair,Romania,Rowing
Silver,2,,TUDOSA C,TUDOSA Ciprian,M,../../../en/results/rowing/athlete-profile-n1286099-tudosa-ciprian.htm,ROU,Men's Pair,Romania,Rowing
Bronze,3,,VYSTAVEL F,VYSTAVEL Frederic,M,../../../en/results/rowing/athlete-profile-n1366761-vystavel-frederic.htm,DEN,Men's Pair,,Rowing
Bronze,3,,SUTTON J,SUTTON Joachim,M,../../../en/results/rowing/athlete-profile-n1366762-sutton-joachim.htm,DEN,Men's Pair,,Rowing
Gold,1,,PRENDERGAST G,PRENDERGAST Grace,W,../../../en/results/rowing/athlete-profile-n1462962-prendergast-grace.htm,NZL,Women's Pair,New Zealand,Rowing
Gold,1,,GOWLER K,GOWLER Kerri,W,../../../en/results/rowing/athlete-profile-n1462923-gowler-kerri.htm,NZL,Women's Pair,New Zealand,Rowing
Silver,2,,ORIABINSKAIA E,ORIABINSKAIA Elena,W,../../../en/results/rowing/athlete-profile-n1435251-oriabinskaia-elena.htm,ROC,Women's Pair,ROC,Rowing
Silver,2,,STEPANOVA V,STEPANOVA Vasilisa,W,../../../en/results/rowing/athlete-profile-n1435265-stepanova-vasilisa.htm,ROC,Women's Pair,ROC,Rowing
Bronze,3,,JANSSENS H,JANSSENS Hillary,W,../../../en/results/rowing/athlete-profile-n1433265-janssens-hillary.htm,CAN,Women's Pair,Canada,Rowing
Bronze,3,,FILMER C,FILMER Caileigh,W,../../../en/results/rowing/athlete-profile-n1433259-filmer-caileigh.htm,CAN,Women's Pair,Canada,Rowing
Gold,1,,LIPTAK J,LIPTAK Jiri,M,../../../en/results/shooting/athlete-profile-n1408572-liptak-jiri.htm,CZE,Trap Men,Czech Republic,Shooting
Silver,2,,KOSTELECKY D,KOSTELECKY David,M,../../../en/results/shooting/athlete-profile-n1408571-kostelecky-david.htm,CZE,Trap Men,Czech Republic,Shooting
Bronze,3,,COWARD HOLLEY MJ,COWARD HOLLEY Matthew John,M,../../../en/results/shooting/athlete-profile-n1459202-coward-holley-matthew-john.htm,GBR,Trap Men,Great Britain,Shooting
Gold,1,,REHAK STEFECEKOVA,REHAK STEFECEKOVA Zuzana,W,../../../en/results/shooting/athlete-profile-n1379850-rehak-stefecekova-zuzana.htm,SVK,Trap Women,Slovakia,Shooting
Silver,2,,BROWNING K,BROWNING Kayle,W,../../../en/results/shooting/athlete-profile-n1335367-browning-kayle.htm,USA,Trap Women,United States of America,Shooting
Bronze,3,,PERILLI A,PERILLI Alessandra,W,../../../en/results/shooting/athlete-profile-n1291695-perilli-alessandra.htm,SMR,Trap Women,San Marino,Shooting
Gold,1,,DRESSEL C,DRESSEL Caeleb,M,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,Men's 100m Freestyle,United States of America,Swimming
Silver,2,,CHALMERS K,CHALMERS Kyle,M,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm,AUS,Men's 100m Freestyle,,Swimming
Bronze,3,,KOLESNIKOV K,KOLESNIKOV Kliment,M,../../../en/results/swimming/athlete-profile-n1431507-kolesnikov-kliment.htm,ROC,Men's 100m Freestyle,ROC,Swimming
Gold,1,,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,M,../../../en/results/swimming/athlete-profile-n1482875-stubblety-cook-izaac.htm,AUS,Men's 200m Breaststroke,,Swimming
Silver,2,,KAMMINGA A,KAMMINGA Arno,M,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm,NED,Men's 200m Breaststroke,Netherlands,Swimming
Bronze,3,,MATTSSON M,MATTSSON Matti,M,../../../en/results/swimming/athlete-profile-n1308801-mattsson-matti.htm,FIN,Men's 200m Breaststroke,Finland,Swimming
Gold,1,,FINKE R,FINKE Robert,M,../../../en/results/swimming/athlete-profile-n1302442-finke-robert.htm,USA,Men's 800m Freestyle,United States of America,Swimming
Silver,2,,PALTRINIERI G,PALTRINIERI Gregorio,M,../../../en/results/swimming/athlete-profile-n1343289-paltrinieri-gregorio.htm,ITA,Men's 800m Freestyle,Italy,Swimming
Bronze,3,,ROMANCHUK M,ROMANCHUK Mykhailo,M,../../../en/results/swimming/athlete-profile-n1451911-romanchuk-mykhailo.htm,UKR,Men's 800m Freestyle,Ukraine,Swimming
Gold,1,,ZHANG Y,ZHANG Yufei,W,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,Women's 200m Butterfly,People's Republic of China,Swimming
Silver,2,,SMITH R,SMITH Regan,W,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm,USA,Women's 200m Butterfly,United States of America,Swimming
Bronze,3,,FLICKINGER H,FLICKINGER Hali,W,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm,USA,Women's 200m Butterfly,United States of America,Swimming
Gold,1,,YANG J,YANG Junxuan,W,../../../en/results/swimming/athlete-profile-n1310752-yang-junxuan.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold,1,,ZHANG Y,ZHANG Yufei,W,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold,1,,DONG J,DONG Jie,W,../../../en/results/swimming/athlete-profile-n1312611-dong-jie.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold,1,,ZHANG Y,ZHANG Yifan,W,../../../en/results/swimming/athlete-profile-n1312640-zhang-yifan.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold,1,,TANG M,TANG Muhan,W,../../../en/results/swimming/athlete-profile-n1315010-tang-muhan.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Gold,1,,LI B,LI Bingjie,W,../../../en/results/swimming/athlete-profile-n1311341-li-bingjie.htm,CHN,Women's 4 x 200m Freestyle Relay,People's Republic of China,Swimming
Silver,2,,MADDEN P,MADDEN Paige,W,../../../en/results/swimming/athlete-profile-n1302440-madden-paige.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver,2,,Mc LAUGHLIN K,Mc LAUGHLIN Kathryn,W,../../../en/results/swimming/athlete-profile-n1302302-mc-laughlin-kathryn.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver,2,,SIMS A,SIMS Arabella,W,../../../en/results/swimming/athlete-profile-n1393808-sims-arabella.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver,2,,LEDECKY K,LEDECKY Kathleen,W,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver,2,,FORDE B,FORDE Brooke,W,../../../en/results/swimming/athlete-profile-n1302237-forde-brooke.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Silver,2,,SCHMITT A,SCHMITT Allison,W,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm,USA,Women's 4 x 200m Freestyle Relay,United States of America,Swimming
Bronze,3,,THROSSELL B,THROSSELL Brianna,W,../../../en/results/swimming/athlete-profile-n1482878-throssell-brianna.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,WILSON M,WILSON Madison,W,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,O'CALLAGHAN M,O'CALLAGHAN Mollie,W,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,COOK T,COOK Tamsin,W,../../../en/results/swimming/athlete-profile-n1699090-cook-tamsin.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,HARRIS M,HARRIS Meg,W,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,TITMUS A,TITMUS Ariarne,W,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,NEALE L,NEALE Leah,W,../../../en/results/swimming/athlete-profile-n1482874-neale-leah.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Bronze,3,,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,Women's 4 x 200m Freestyle Relay,,Swimming
Gold,1,,CHEN M,CHEN Meng,W,../../../en/results/table-tennis/athlete-profile-n1322041-chen-meng.htm,CHN,Women's Singles,People's Republic of China,Table Tennis
Silver,2,,SUN Y,SUN Yingsha,W,../../../en/results/table-tennis/athlete-profile-n1322049-sun-yingsha.htm,CHN,Women's Singles,People's Republic of China,Table Tennis
Bronze,3,,ITO M,ITO Mima,W,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm,JPN,Women's Singles,Japan,Table Tennis
Gold,1,,AN S,AN San,W,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,Women's Individual,Republic of Korea,Archery
Silver,2,,OSIPOVA E,OSIPOVA Elena,W,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm,ROC,Women's Individual,ROC,Archery
Bronze,3,,BOARI L,BOARI Lucilla,W,../../../en/results/archery/athlete-profile-n1413342-boari-lucilla.htm,ITA,Women's Individual,Italy,Archery
Gold,1,,BAREGA S,BAREGA Selemon,M,../../../en/results/athletics/athlete-profile-n1351995-barega-selemon.htm,ETH,"Men's 10,000m",Ethiopia,Athletics
Silver,2,,CHEPTEGEI J,CHEPTEGEI Joshua,M,../../../en/results/athletics/athlete-profile-n1450695-cheptegei-joshua.htm,UGA,"Men's 10,000m",Uganda,Athletics
Bronze,3,,KIPLIMO J,KIPLIMO Jacob,M,../../../en/results/athletics/athlete-profile-n1450741-kiplimo-jacob.htm,UGA,"Men's 10,000m",Uganda,Athletics
Gold,1,,WANG Yi Lyu,WANG Yi Lyu,X,../../../en/results/badminton/athlete-profile-n1350344-wang-yi-lyu.htm,CHN,Mixed Doubles,People's Republic of China,Badminton
Gold,1,,HUANG Dong Ping,HUANG Dong Ping,X,../../../en/results/badminton/athlete-profile-n1350347-huang-dong-ping.htm,CHN,Mixed Doubles,People's Republic of China,Badminton
Silver,2,,ZHENG Si Wei,ZHENG Si Wei,X,../../../en/results/badminton/athlete-profile-n1350332-zheng-si-wei.htm,CHN,Mixed Doubles,People's Republic of China,Badminton
Silver,2,,HUANG Ya Qiong,HUANG Ya Qiong,X,../../../en/results/badminton/athlete-profile-n1350338-huang-ya-qiong.htm,CHN,Mixed Doubles,People's Republic of China,Badminton
Bronze,3,,WATANABE Y,WATANABE Yuta,X,../../../en/results/badminton/athlete-profile-n1313474-watanabe-yuta.htm,JPN,Mixed Doubles,Japan,Badminton
Bronze,3,,HIGASHINO A,HIGASHINO Arisa,X,../../../en/results/badminton/athlete-profile-n1313496-higashino-arisa.htm,JPN,Mixed Doubles,Japan,Badminton
Gold,1,,PRSKAVEC J,PRSKAVEC Jiri,M,../../../en/results/canoe-slalom/athlete-profile-n1402115-prskavec-jiri.htm,CZE,Men's Kayak,Czech Republic,Canoe Slalom
Silver,2,,GRIGAR J,GRIGAR Jakub,M,../../../en/results/canoe-slalom/athlete-profile-n1387283-grigar-jakub.htm,SVK,Men's Kayak,Slovakia,Canoe Slalom
Bronze,3,,AIGNER H,AIGNER Hannes,M,../../../en/results/canoe-slalom/athlete-profile-n1333386-aigner-hannes.htm,GER,Men's Kayak,Germany,Canoe Slalom
Gold,1,,KIMMANN N,KIMMANN Niek,M,../../../en/results/cycling-bmx-racing/athlete-profile-n1467925-kimmann-niek.htm,NED,Men,Netherlands,Cycling BMX Racing
Silver,2,,WHYTE K,WHYTE Kye,M,../../../en/results/cycling-bmx-racing/athlete-profile-n1474981-whyte-kye.htm,GBR,Men,Great Britain,Cycling BMX Racing
Bronze,3,,RAMIREZ YEPES CA,RAMIREZ YEPES Carlos Alberto,M,../../../en/results/cycling-bmx-racing/athlete-profile-n1379634-ramirez-yepes-carlos-alberto.htm,COL,Men,Colombia,Cycling BMX Racing
Gold,1,,SHRIEVER B,SHRIEVER Bethany,W,../../../en/results/cycling-bmx-racing/athlete-profile-n1474974-shriever-bethany.htm,GBR,Women,Great Britain,Cycling BMX Racing
Silver,2,,PAJON M,PAJON Mariana,W,../../../en/results/cycling-bmx-racing/athlete-profile-n1379630-pajon-mariana.htm,COL,Women,Colombia,Cycling BMX Racing
Bronze,3,,SMULDERS M,SMULDERS Merel,W,../../../en/results/cycling-bmx-racing/athlete-profile-n1467951-smulders-merel.htm,NED,Women,Netherlands,Cycling BMX Racing
Gold,1,,MINOBE K,MINOBE Kazuyasu,M,../../../en/results/fencing/athlete-profile-n1315113-minobe-kazuyasu.htm,JPN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold,1,,KANO K,KANO Koki,M,../../../en/results/fencing/athlete-profile-n1315114-kano-koki.htm,JPN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold,1,,YAMADA M,YAMADA Masaru,M,../../../en/results/fencing/athlete-profile-n1315115-yamada-masaru.htm,JPN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Gold,1,,UYAMA S,UYAMA Satoru,M,../../../en/results/fencing/athlete-profile-n1315116-uyama-satoru.htm,JPN,Men's &Eacute;p&eacute;e Team,Japan,Fencing
Silver,2,,BIDA S,BIDA Sergey,M,../../../en/results/fencing/athlete-profile-n1428184-bida-sergey.htm,ROC,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver,2,,KHODOS S,KHODOS Sergey,M,../../../en/results/fencing/athlete-profile-n1428185-khodos-sergey.htm,ROC,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver,2,,SUKHOV P,SUKHOV Pavel,M,../../../en/results/fencing/athlete-profile-n1428186-sukhov-pavel.htm,ROC,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Silver,2,,GLAZKOV N,GLAZKOV Nikita,M,../../../en/results/fencing/athlete-profile-n1428187-glazkov-nikita.htm,ROC,Men's &Eacute;p&eacute;e Team,ROC,Fencing
Bronze,3,,KWEON Y,KWEON Youngjun,M,../../../en/results/fencing/athlete-profile-n1407976-kweon-youngjun.htm,KOR,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze,3,,PARK S,PARK Sangyoung,M,../../../en/results/fencing/athlete-profile-n1335656-park-sangyoung.htm,KOR,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze,3,,MA S,MA Segeon,M,../../../en/results/fencing/athlete-profile-n1335658-ma-segeon.htm,KOR,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze,3,,SONG J,SONG Jaeho,M,../../../en/results/fencing/athlete-profile-n1335660-song-jaeho.htm,KOR,Men's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Gold,1,,KRPALEK L,KRPALEK Lukas,M,../../../en/results/judo/athlete-profile-n1408640-krpalek-lukas.htm,CZE,Men +100 kg,Czech Republic,Judo
Silver,2,,TUSHISHVILI G,TUSHISHVILI Guram,M,../../../en/results/judo/athlete-profile-n1286158-tushishvili-guram.htm,GEO,Men +100 kg,Georgia,Judo
Bronze,3,,RINER T,RINER Teddy,M,../../../en/results/judo/athlete-profile-n1403689-riner-teddy.htm,FRA,Men +100 kg,France,Judo
Bronze,3,,BASHAEV T,BASHAEV Tamerlan,M,../../../en/results/judo/athlete-profile-n1439725-bashaev-tamerlan.htm,ROC,Men +100 kg,ROC,Judo
Gold,1,,SONE A,SONE Akira,W,../../../en/results/judo/athlete-profile-n1315332-sone-akira.htm,JPN,Women +78 kg,Japan,Judo
Silver,2,,ORTIZ I,ORTIZ Idalys,W,../../../en/results/judo/athlete-profile-n1314715-ortiz-idalys.htm,CUB,Women +78 kg,Cuba,Judo
Bronze,3,,DICKO R,DICKO Romane,W,../../../en/results/judo/athlete-profile-n1403706-dicko-romane.htm,FRA,Women +78 kg,France,Judo
Bronze,3,,KINDZERSKA I,KINDZERSKA Iryna,W,../../../en/results/judo/athlete-profile-n1341371-kindzerska-iryna.htm,AZE,Women +78 kg,Azerbaijan,Judo
Gold,1,,BOND H,BOND Hamish,M,../../../en/results/rowing/athlete-profile-n1462911-bond-hamish.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,BOSWORTH S,BOSWORTH Sam,M,../../../en/results/rowing/athlete-profile-n1462914-bosworth-sam.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,BRAKE M,BRAKE Michael,M,../../../en/results/rowing/athlete-profile-n1462915-brake-michael.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,KIRKHAM S,KIRKHAM Shaun,M,../../../en/results/rowing/athlete-profile-n1462934-kirkham-shaun.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,MACDONALD M,MACDONALD Matt,M,../../../en/results/rowing/athlete-profile-n1462939-macdonald-matt.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,MACKINTOSH T,MACKINTOSH Thomas,M,../../../en/results/rowing/athlete-profile-n1462943-mackintosh-thomas.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,MURRAY T,MURRAY Tom,M,../../../en/results/rowing/athlete-profile-n1462956-murray-tom.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,WILLIAMSON D,WILLIAMSON Daniel,M,../../../en/results/rowing/athlete-profile-n1462986-williamson-daniel.htm,NZL,Men's Eight,New Zealand,Rowing
Gold,1,,WILSON P,WILSON Phillip,M,../../../en/results/rowing/athlete-profile-n1462987-wilson-phillip.htm,NZL,Men's Eight,New Zealand,Rowing
Silver,2,,FOLLERT L,FOLLERT Laurits,M,../../../en/results/rowing/athlete-profile-n1331563-follert-laurits.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,JAKSCHIK M,JAKSCHIK Malte,M,../../../en/results/rowing/athlete-profile-n1331578-jakschik-malte.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,JOHANNESEN T,JOHANNESEN Torben,M,../../../en/results/rowing/athlete-profile-n1331579-johannesen-torben.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,OCIK H,OCIK Hannes,M,../../../en/results/rowing/athlete-profile-n1331589-ocik-hannes.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,SAUER M,SAUER Martin,M,../../../en/results/rowing/athlete-profile-n1331599-sauer-martin.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,SCHMIDT R,SCHMIDT Richard,M,../../../en/results/rowing/athlete-profile-n1331601-schmidt-richard.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,SCHNEIDER J,SCHNEIDER Jakob,M,../../../en/results/rowing/athlete-profile-n1331602-schneider-jakob.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,WEISSENFELD J,WEISSENFELD Johannes,M,../../../en/results/rowing/athlete-profile-n1331608-weissenfeld-johannes.htm,GER,Men's Eight,Germany,Rowing
Silver,2,,ROGGENSACK O,ROGGENSACK Olaf,M,../../../en/results/rowing/athlete-profile-n1331597-roggensack-olaf.htm,GER,Men's Eight,Germany,Rowing
Bronze,3,,BUGAJSKI J,BUGAJSKI Josh,M,../../../en/results/rowing/athlete-profile-n1444659-bugajski-josh.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,DAWSON J,DAWSON Jacob,M,../../../en/results/rowing/athlete-profile-n1444676-dawson-jacob.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,ELWES C,ELWES Charles,M,../../../en/results/rowing/athlete-profile-n1444679-elwes-charles.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,FIELDMAN H,FIELDMAN Henry,M,../../../en/results/rowing/athlete-profile-n1444680-fieldman-henry.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,FORD T,FORD Tom,M,../../../en/results/rowing/athlete-profile-n1444682-ford-tom.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,GEORGE T,GEORGE Tom,M,../../../en/results/rowing/athlete-profile-n1444684-george-tom.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,RUDKIN J,RUDKIN James,M,../../../en/results/rowing/athlete-profile-n1444709-rudkin-james.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,SBIHI M,SBIHI Mohamed,M,../../../en/results/rowing/athlete-profile-n1444710-sbihi-mohamed.htm,GBR,Men's Eight,Great Britain,Rowing
Bronze,3,,WYNNE-GRIFFITH O,WYNNE-GRIFFITH Oliver,M,../../../en/results/rowing/athlete-profile-n1444720-wynne-griffith-oliver.htm,GBR,Men's Eight,Great Britain,Rowing
Gold,1,,NTOUSKOS S,NTOUSKOS Stefanos,M,../../../en/results/rowing/athlete-profile-n1450133-ntouskos-stefanos.htm,GRE,Men's Single Sculls,Greece,Rowing
Silver,2,,BORCH K,BORCH Kjetil,M,../../../en/results/rowing/athlete-profile-n1346303-borch-kjetil.htm,NOR,Men's Single Sculls,Norway,Rowing
Bronze,3,,MARTIN D,MARTIN Damir,M,../../../en/results/rowing/athlete-profile-n1456334-martin-damir.htm,CRO,Men's Single Sculls,Croatia,Rowing
Gold,1,,GRAINGER S,GRAINGER Susanne,W,../../../en/results/rowing/athlete-profile-n1433261-grainger-susanne.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,GRUCHALLA-WESIERS.,GRUCHALLA-WESIERSKI Kasia,W,../../../en/results/rowing/athlete-profile-n1433263-gruchalla-wesierski-kasia.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,KIT K,KIT Kristen,W,../../../en/results/rowing/athlete-profile-n1433269-kit-kristen.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,MAILEY M,MAILEY Madison,W,../../../en/results/rowing/athlete-profile-n1433273-mailey-madison.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,PAYNE S,PAYNE Sydney,W,../../../en/results/rowing/athlete-profile-n1433278-payne-sydney.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,PROSKE A,PROSKE Andrea,W,../../../en/results/rowing/athlete-profile-n1433279-proske-andrea.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,ROMAN L,ROMAN Lisa,W,../../../en/results/rowing/athlete-profile-n1433280-roman-lisa.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,ROPER C,ROPER Christine,W,../../../en/results/rowing/athlete-profile-n1433281-roper-christine.htm,CAN,Women's Eight,Canada,Rowing
Gold,1,,WASTENEYS A,WASTENEYS Avalon,W,../../../en/results/rowing/athlete-profile-n1433288-wasteneys-avalon.htm,CAN,Women's Eight,Canada,Rowing
Silver,2,,DYKE E,DYKE Emma,W,../../../en/results/rowing/athlete-profile-n1462919-dyke-emma.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,GOWLER J,GOWLER Jackie,W,../../../en/results/rowing/athlete-profile-n1462922-gowler-jackie.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,GOWLER K,GOWLER Kerri,W,../../../en/results/rowing/athlete-profile-n1462923-gowler-kerri.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,BEVAN K,BEVAN Kelsey,W,../../../en/results/rowing/athlete-profile-n1462909-bevan-kelsey.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,PRENDERGAST G,PRENDERGAST Grace,W,../../../en/results/rowing/athlete-profile-n1462962-prendergast-grace.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,ROSS B,ROSS Beth,W,../../../en/results/rowing/athlete-profile-n1462965-ross-beth.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,SHEPHERD C,SHEPHERD Caleb,W,../../../en/results/rowing/athlete-profile-n1462971-shepherd-caleb.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,SPOORS L,SPOORS Lucy,W,../../../en/results/rowing/athlete-profile-n1462975-spoors-lucy.htm,NZL,Women's Eight,New Zealand,Rowing
Silver,2,,GREENSLADE E,GREENSLADE Ella,W,../../../en/results/rowing/athlete-profile-n1462925-greenslade-ella.htm,NZL,Women's Eight,New Zealand,Rowing
Bronze,3,,ZHANG M,ZHANG Min,W,../../../en/results/rowing/athlete-profile-n1313073-zhang-min.htm,CHN,Women's Eight,People's Republic of China,Rowing
