name,short_name,gender,birth_date,country,discipline,function,event,url
SARTI Ronald,SARTI R,Male,1971-10-19,Venezuela,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1307555-sarti-ronald.htm
SAVIC Dejan,SAVIC D,Male,1975-04-24,Serbia,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1344212-savic-dejan.htm
SCARIOLO Sergio,SCARIOLO S,Male,1961-04-01,Italy,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1322508-scariolo-sergio.htm
SCHILLING April,SCHILLING A,Female,1980-12-09,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1405790-schilling-april.htm
SEKULIC Aleksander,SEKULIC A,Male,1978-02-24,Slovenia,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1436878-sekulic-aleksander.htm
SEO Chun Oh,SEO CO,Male,1967-08-03,Republic of Korea,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1342995-seo-chun-oh.htm
SERMANNI Tom,SERMANNI T,Male,1954-07-01,Australia,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1476106-sermanni-tom.htm
SHAHINTAB Mehran,SHAHINTAB M,Male,1966-03-21,Islamic Republic of Iran,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1281792-shahintab-mehran.htm
SHAHNAZI Shahbaz,SHAHNAZI S,Male,1987-07-11,Islamic Republic of Iran,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1331227-shahnazi-shahbaz.htm
SHAW Graham,SHAW G,Male,1978-10-17,Ireland,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1473560-shaw-graham.htm
SHAWKY Gharib,SHAWKY G,Male,1959-02-26,Egypt,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1378816-shawky-gharib.htm
SHIMIZU Masaji,SHIMIZU M,Male,1964-07-07,Japan,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1313744-shimizu-masaji.htm
SIAM Zaghloul,SIAM Z,Male,1968-03-25,Egypt,Football,Head Coach,,../../../en/results/football/athlete-profile-n1898563-siam-zaghloul.htm
SIGURDSSON Dagur,SIGURDSSON D,Male,1973-04-03,Iceland,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1315297-sigurdsson-dagur.htm
SILVA Jose,SILVA J,Male,1973-12-19,Mexico,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1849265-silva-jose.htm
SIMIYU Innocent,SIMIYU I,Male,1983-04-24,Kenya,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1422514-simiyu-innocent.htm
SINGH Shivendra,SINGH S,Male,1983-06-09,India,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1309727-singh-shivendra.htm
SMITH Darren,SMITH D,Male,1973-11-14,New Zealand,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1473561-smith-darren.htm
SMITH Mark,SMITH M,Male,1959-06-27,Canada,Baseball/Softball,Head Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1426206-smith-mark.htm
SOLBERG Glenn,SOLBERG G,Male,1972-02-18,Norway,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1408648-solberg-glenn.htm
SOYEZ Frederic,SOYEZ F,Male,1978-02-11,France,Hockey,Head Coach,Men,../../../en/results/hockey/athlete-profile-n1355309-soyez-frederic.htm
SPERAW John,SPERAW J,Male,1971-10-18,United States of America,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1298684-speraw-john.htm
SPERONI Stefania,SPERONI S,Female,1980-01-12,Italy,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1425979-speroni-stefania.htm
STALEY Dawn Michelle,STALEY D,Female,1970-05-04,United States of America,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1312711-staley-dawn-michelle.htm
STANIFORTH Dave,STANIFORTH D,Male,1976-04-05,South Africa,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1483172-staniforth-dave.htm
STAS Jacques,STAS J,Male,1969-02-06,Belgium,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1866616-stas-jacques.htm
SUNDHAGE Pia Mariane,SUNDHAGE P,Female,1960-02-13,Sweden,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1351704-sundhage-pia-mariane.htm
SVETLICHNAYA Aliona,SVETLICHNAYA A,Female,1981-12-18,Belarus,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1289288-svetlichnaya-aliona.htm
SZAUDER Gabor,SZAUDER G,Male,1972-02-10,Hungary,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1450730-szauder-gabor.htm
SZAUDER Gabor,SZAUDER G,Male,1972-02-10,Hungary,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1450730-szauder-gabor.htm
SZAUDER Nora,SZAUDER N,Female,1979-01-29,Slovakia,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1387209-szauder-nora.htm
TAGLE German,TAGLE G,Male,1975-01-08,Chile,Football,Head Coach,,../../../en/results/football/athlete-profile-n1335542-tagle-german.htm
TAKAKURA Asako,TAKAKURA A,Female,1968-04-19,Japan,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1329662-takakura-asako.htm
TAKITA Risako,TAKITA R,Female,1972-10-30,Japan,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1315872-takita-risako.htm
TAKITA Risako,TAKITA R,Female,1972-10-30,Japan,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1315872-takita-risako.htm
TARR Heather,TARR H,Female,1974-10-05,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1310161-tarr-heather.htm
TATEYAMA Yoshinori,TATEYAMA Y,Male,1975-12-26,Japan,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1313745-tateyama-yoshinori.htm
TERZIC Zoran,TERZIC Z,Male,1966-07-09,Serbia,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1344682-terzic-zoran.htm
THOMAIDIS Lisa,THOMAIDIS L,Female,1971-07-23,Canada,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1432978-thomaidis-lisa.htm
TILLIE Laurent,TILLIE L,Male,1963-12-01,France,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1340543-tillie-laurent.htm
TUCAK Ivica,TUCAK I,Male,1970-02-08,Croatia,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1398832-tucak-ivica.htm
TURNER Glenn,TURNER G,Male,1984-05-01,Australia,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1473563-turner-glenn.htm
UDOKA Ime,UDOKA I,Male,1977-08-09,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312717-udoka-ime.htm
UDOVICIC Dejan,UDOVICIC D,Male,1970-07-26,Serbia,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1320587-udovicic-dejan.htm
UTKIN Volodymyr,UTKIN V,Male,1969-12-19,Ukraine,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1449845-utkin-volodymyr.htm
UTSUGI Reika,UTSUGI R,Female,1963-06-01,Japan,Baseball/Softball,Head Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1313733-utsugi-reika.htm
van GINKEL Robin,van GINKEL R,Male,1982-04-30,South Africa,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1318772-van-ginkel-robin.htm
van GUNDY Jeff,van GUNDY J,Male,1962-01-19,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312723-van-gundy-jeff.htm
VASQUEZ Diego,VASQUEZ D,Male,1969-04-29,Venezuela,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1451597-vasquez-diego.htm
VILLEGAS Orlando,VILLEGAS O,Male,1959-03-17,Venezuela,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1308817-villegas-orlando.htm
VITORINO de SOUZA Marcelo,VITORINO de SOUZA,Male,1981-05-12,Brazil,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1459290-vitorino-de-souza-marcelo.htm
VIVER ARZA Carlos Enrique,VIVER ARZA CE,Male,1973-04-24,Spain,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1313339-viver-arza-carlos-enrique.htm
VLACHOS Theodoros,VLACHOS T,Male,1969-07-09,Greece,Water Polo,Head Coach,Men,../../../en/results/water-polo/athlete-profile-n1466687-vlachos-theodoros.htm
VOLOSHYNA Anna,VOLOSHYNA A,Female,1991-09-26,Ukraine,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1444384-voloshyna-anna.htm
VORONOVA Elena,VORONOVA E,Female,1991-03-22,ROC,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1431715-voronova-elena.htm
WALL Michael,WALL M,Male,1978-10-29,United States of America,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1298692-wall-michael.htm
WALLACE Dave,WALLACE D,Male,1946-09-07,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1471344-wallace-dave.htm
WALSH Tim,WALSH T,Male,1979-04-10,Australia,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1473092-walsh-tim.htm
WANG Jie,WANG J,Female,1961-11-18,People's Republic of China,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1305109-wang-jie.htm
WANG Jie,WANG J,Female,1961-11-18,People's Republic of China,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1305109-wang-jie.htm
WANG Yang,WANG Y,Male,1968-09-08,People's Republic of China,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1396209-wang-yang.htm
WIEGMAN Sarina,WIEGMAN S,Female,1969-10-26,Netherlands,Football,Head Coach,Women,../../../en/results/football/athlete-profile-n1457429-wiegman-sarina.htm
WIRTH Oscar,WIRTH O,Male,1955-11-05,Chile,Football,Head Coach,,../../../en/results/football/athlete-profile-n1335548-wirth-oscar.htm
WOELFLIN Roberto Osvaldo,WOELFLIN RO,Male,1968-07-28,Argentina,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1365438-woelflin-roberto-osvaldo.htm
WOICKI Pawel,WOICKI P,Male,1983-06-29,Poland,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1313918-woicki-pawel.htm
WRIGHT Jerold,WRIGHT J,Male,1961-12-24,United States of America,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1312724-wright-jerold.htm
XU Limin,XU L,Male,1966-05-01,People's Republic of China,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1324796-xu-limin.htm
YAMAJI Noriko,YAMAJI N,Female,1970-09-17,Japan,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1313734-yamaji-noriko.htm
YOUNG Ernie,YOUNG E,Male,1969-07-08,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1460076-young-ernie.htm
YUAN Lingxi,YUAN L,Male,1982-07-31,People's Republic of China,Volleyball,Head Coach,,../../../en/results/volleyball/athlete-profile-n1342769-yuan-lingxi.htm
ZAITSEVA Olesia,ZAITSEVA O,Female,1974-11-08,Ukraine,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1449843-zaitseva-olesia.htm
ZAMORA PEDREIRA Javier,ZAMORA PEDREIRA J,Male,1984-10-27,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1400384-zamora-pedreira-javier.htm
ZAMPIERI Francesca,ZAMPIERI F,Female,1981-12-22,Italy,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1288449-zampieri-francesca.htm
ZHANG Xiaohuan,ZHANG X,Female,1980-08-19,People's Republic of China,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1305111-zhang-xiaohuan.htm
ZIJP Simon,ZIJP S,Male,1964-03-12,Netherlands,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1466849-zijp-simon.htm
ZONDI Nkuliso,ZONDI N,Male,1989-03-02,South Africa,Hockey,Coach,Women,../../../en/results/hockey/athlete-profile-n1318776-zondi-nkuliso.htm
