name,short_name,gender,birth_date,country,discipline,function,event,url
CHEPAK Anastasiya,CHEPAK A,Female,1985-07-05,Ukraine,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1361585-chepak-anastasiya.htm
CHERNETSKA Natalia,CHERNETSKA N,Female,1974-04-01,Ukraine,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1466681-chernetska-natalia.htm
CHERNETSKA Natalia,CHERNETSKA N,Female,1974-04-01,Ukraine,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1466681-chernetska-natalia.htm
CHOI Il Eon,CHOI IE,Male,1961-07-27,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333156-choi-il-eon.htm
CHONG Taehyon,CHONG T,Male,1978-11-10,Republic of Korea,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1333157-chong-taehyon.htm
CHUN Jooweon,CHUN J,Female,1972-11-15,Republic of Korea,Basketball,Coach,Women,../../../en/results/basketball/athlete-profile-n1333610-chun-jooweon.htm
CLARK STEPHEN Gregg,CLARK STEPHEN G,Male,1971-01-11,South Africa,Hockey,Coach,Men,../../../en/results/hockey/athlete-profile-n1366531-clark-stephen-gregg.htm
COLLET Vincent,COLLET V,Male,1963-06-06,France,Basketball,Coach,Men,../../../en/results/basketball/athlete-profile-n1337889-collet-vincent.htm
COMMENS Adam,COMMENS A,Male,1976-05-06,Australia,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1393511-commens-adam.htm
COURTEIX David,COURTEIX D,Male,1972-05-30,France,Rugby Sevens,Head Coach,Women,../../../en/results/rugby-sevens/athlete-profile-n1400664-courteix-david.htm
CRUZ Filipe,CRUZ F,Male,1969-09-07,Angola,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1457736-cruz-filipe.htm
DAL ZOTTO Renan,DAL ZOTTO R,Male,1960-07-19,Brazil,Volleyball,Head Coach,Men,../../../en/results/volleyball/athlete-profile-n1353959-dal-zotto-renan.htm
DANCER Sean,DANCER S,Male,1975-08-04,Australia,Hockey,Head Coach,Women,../../../en/results/hockey/athlete-profile-n1282059-dancer-sean.htm
DANCHENKO Tatiana,DANCHENKO T,Female,1971-11-06,ROC,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1431711-danchenko-tatiana.htm
DAVY Jeremy,DAVY J,Male,1973-07-03,Australia,Hockey,Coach,Women,../../../en/results/hockey/athlete-profile-n1483176-davy-jeremy.htm
DAZA Fabian,DAZA F,Male,1994-09-23,Chile,Football,Head Coach,,../../../en/results/football/athlete-profile-n1335551-daza-fabian.htm
de ARMAS JR Rolando,de ARMAS JR R,Male,1951-12-29,United States of America,Baseball/Softball,Coach,Baseball,../../../en/results/baseball-softball/athlete-profile-n1461098-de-armas-jr-rolando.htm
de la FUENTE CASTILLO Luis,de la FUENTE CASTI,Male,1961-06-21,Spain,Football,Head Coach,Men,../../../en/results/football/athlete-profile-n1328154-de-la-fuente-castillo-luis.htm
de MOURA Luizomar,de MOURA L,Male,1966-05-26,Brazil,Volleyball,Head Coach,Women,../../../en/results/volleyball/athlete-profile-n1459297-de-moura-luizomar.htm
de OLIVEIRA Marcus Ricardo,de OLIVEIRA MR,Male,1979-12-02,Brazil,Handball,Coach,Men,../../../en/results/handball/athlete-profile-n1335882-de-oliveira-marcus-ricardo.htm
de VOS Robbert-Jan,de VOS R,Male,1979-10-13,Netherlands,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1466841-de-vos-robbert-jan.htm
DELANEY Mike,DELANEY M,Male,1989-04-17,New Zealand,Hockey,Coach,,../../../en/results/hockey/athlete-profile-n1473558-delaney-mike.htm
DEMCHENKO Zhanna,DEMCHENKO Z,Female,1969-09-18,Russian Federation,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1305511-demchenko-zhanna.htm
DIAZ FERNANDEZ Jenaro Manuel,DIAZ FERNANDEZ JM,Male,1971-04-03,Spain,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1322499-diaz-fernandez-jenaro-manuel.htm
DIAZ HENRIQUEZ Nestor,DIAZ HENRIQUEZ N,Male,1977-03-26,Dominican Republic,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1468585-diaz-henriquez-nestor.htm
DOBSON Howard,DOBSON H,Male,1973-02-13,United States of America,Baseball/Softball,Coach,Softball,../../../en/results/baseball-softball/athlete-profile-n1310160-dobson-howard.htm
DROBNJAK Dragisa,DROBNJAK D,Male,1977-11-05,Slovenia,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1725711-drobnjak-dragisa.htm
DUENAS de GALARZA Jorge,DUENAS de GALARZA,Male,1962-10-16,Spain,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1335877-duenas-de-galarza-jorge.htm
DURO Fernando,DURO F,Male,1960-11-22,Argentina,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1418899-duro-fernando.htm
DYKSTRA Trisha,DYKSTRA T,Female,1972-07-23,Australia,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1328300-dykstra-trisha.htm
ECHEZURIA Manuel,ECHEZURIA M,Male,1997-10-23,Venezuela,Basketball,Coach,,../../../en/results/basketball/athlete-profile-n1451623-echezuria-manuel.htm
EDDY Anthony,EDDY A,Male,1966-01-28,Australia,Rugby Sevens,Head Coach,Men,../../../en/results/rugby-sevens/athlete-profile-n1305508-eddy-anthony.htm
EITOKU Atsushi,EITOKU A,Male,1986-12-14,Japan,Artistic Swimming,Coach,,../../../en/results/artistic-swimming/athlete-profile-n1315874-eitoku-atsushi.htm
ELAFANDI Nour,ELAFANDI N,Female,1993-01-10,Egypt,Artistic Swimming,Coach,Duet,../../../en/results/artistic-swimming/athlete-profile-n1361507-elafandi-nour.htm
ELAFANDI Nour,ELAFANDI N,Female,1993-01-10,Egypt,Artistic Swimming,Coach,Team,../../../en/results/artistic-swimming/athlete-profile-n1361507-elafandi-nour.htm
ELEK Gabor,ELEK G,Male,1970-11-05,Hungary,Handball,Coach,Women,../../../en/results/handball/athlete-profile-n1309796-elek-gabor.htm
