medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-07-27 00:00:00.0,LEE H,LEE Hyein,W,../../../en/results/fencing/athlete-profile-n1335674-lee-hyein.htm,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-27 00:00:00.0,KANG YM,KANG Young Mi,W,../../../en/results/fencing/athlete-profile-n1335676-kang-young-mi.htm,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-27 00:00:00.0,SONG S,SONG Sera,W,../../../en/results/fencing/athlete-profile-n1335677-song-sera.htm,KOR,FEN,Women's &Eacute;p&eacute;e Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-27 00:00:00.0,SANTUCCIO A,SANTUCCIO Alberta,W,../../../en/results/fencing/athlete-profile-n1334783-santuccio-alberta.htm,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27 00:00:00.0,ISOLA F,ISOLA Federica,W,../../../en/results/fencing/athlete-profile-n1312444-isola-federica.htm,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27 00:00:00.0,FIAMINGO R,FIAMINGO Rossella,W,../../../en/results/fencing/athlete-profile-n1312456-fiamingo-rossella.htm,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Bronze Medal,3,2021-07-27 00:00:00.0,NAVARRIA M,NAVARRIA Mara,W,../../../en/results/fencing/athlete-profile-n1312457-navarria-mara.htm,ITA,FEN,Women's &Eacute;p&eacute;e Team,Italy,Fencing
Gold Medal,1,2021-07-27 00:00:00.0,NAGASE T,NAGASE Takanori,M,../../../en/results/judo/athlete-profile-n1315342-nagase-takanori.htm,JPN,JUD,Men -81 kg,Japan,Judo
Silver Medal,2,2021-07-27 00:00:00.0,MOLLAEI S,MOLLAEI Saeid,M,../../../en/results/judo/athlete-profile-n1326124-mollaei-saeid.htm,MGL,JUD,Men -81 kg,Mongolia,Judo
Bronze Medal,3,2021-07-27 00:00:00.0,BORCHASHVILI S,BORCHASHVILI Shamil,M,../../../en/results/judo/athlete-profile-n1330757-borchashvili-shamil.htm,AUT,JUD,Men -81 kg,Austria,Judo
Bronze Medal,3,2021-07-27 00:00:00.0,CASSE M,CASSE Matthias,M,../../../en/results/judo/athlete-profile-n1393615-casse-matthias.htm,BEL,JUD,Men -81 kg,Belgium,Judo
Gold Medal,1,2021-07-27 00:00:00.0,AGBEGNENOU C,AGBEGNENOU Clarisse,W,../../../en/results/judo/athlete-profile-n1403697-agbegnenou-clarisse.htm,FRA,JUD,Women -63 kg,France,Judo
Silver Medal,2,2021-07-27 00:00:00.0,TRSTENJAK T,TRSTENJAK Tina,W,../../../en/results/judo/athlete-profile-n1429519-trstenjak-tina.htm,SLO,JUD,Women -63 kg,Slovenia,Judo
Bronze Medal,3,2021-07-27 00:00:00.0,BEAUCHEMIN-PINARD,BEAUCHEMIN-PINARD Catherine,W,../../../en/results/judo/athlete-profile-n1433439-beauchemin-pinard-catherine.htm,CAN,JUD,Women -63 kg,Canada,Judo
Bronze Medal,3,2021-07-27 00:00:00.0,CENTRACCHIO M,CENTRACCHIO Maria,W,../../../en/results/judo/athlete-profile-n1351016-centracchio-maria.htm,ITA,JUD,Women -63 kg,Italy,Judo
Gold Medal,1,2021-07-27 00:00:00.0,JIANG R,JIANG Ranxin,X,../../../en/results/shooting/athlete-profile-n1302200-jiang-ranxin.htm,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Gold Medal,1,2021-07-27 00:00:00.0,PANG W,PANG Wei,X,../../../en/results/shooting/athlete-profile-n1302190-pang-wei.htm,CHN,SHO,10m Air Pistol Mixed Team,People's Republic of China,Shooting
Silver Medal,2,2021-07-27 00:00:00.0,BATSARASHKINA V,BATSARASHKINA Vitalina,X,../../../en/results/shooting/athlete-profile-n1428779-batsarashkina-vitalina.htm,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Silver Medal,2,2021-07-27 00:00:00.0,CHERNOUSOV A,CHERNOUSOV Artem,X,../../../en/results/shooting/athlete-profile-n1428773-chernousov-artem.htm,ROC,SHO,10m Air Pistol Mixed Team,ROC,Shooting
Bronze Medal,3,2021-07-27 00:00:00.0,KOSTEVYCH O,KOSTEVYCH Olena,X,../../../en/results/shooting/athlete-profile-n1481602-kostevych-olena.htm,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Bronze Medal,3,2021-07-27 00:00:00.0,OMELCHUK O,OMELCHUK Oleh,X,../../../en/results/shooting/athlete-profile-n1481605-omelchuk-oleh.htm,UKR,SHO,10m Air Pistol Mixed Team,Ukraine,Shooting
Gold Medal,1,2021-07-27 00:00:00.0,YANG Q,YANG Qian,X,../../../en/results/shooting/athlete-profile-n1302186-yang-qian.htm,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Gold Medal,1,2021-07-27 00:00:00.0,YANG H,YANG Haoran,X,../../../en/results/shooting/athlete-profile-n1302169-yang-haoran.htm,CHN,SHO,10m Air Rifle Mixed Team,People's Republic of China,Shooting
Silver Medal,2,2021-07-27 00:00:00.0,KOZENIESKY L,KOZENIESKY Lucas,X,../../../en/results/shooting/athlete-profile-n1335374-kozeniesky-lucas.htm,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Silver Medal,2,2021-07-27 00:00:00.0,TUCKER MC,TUCKER Mary Carolynn,X,../../../en/results/shooting/athlete-profile-n1335383-tucker-mary-carolynn.htm,USA,SHO,10m Air Rifle Mixed Team,United States of America,Shooting
Bronze Medal,3,2021-07-27 00:00:00.0,KARIMOVA Y,KARIMOVA Yulia,X,../../../en/results/shooting/athlete-profile-n1428766-karimova-yulia.htm,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Bronze Medal,3,2021-07-27 00:00:00.0,KAMENSKIY S,KAMENSKIY Sergey,X,../../../en/results/shooting/athlete-profile-n1428759-kamenskiy-sergey.htm,ROC,SHO,10m Air Rifle Mixed Team,ROC,Shooting
Gold Medal,1,2021-07-27 00:00:00.0,FERREIRA I,FERREIRA Italo,M,../../../en/results/surfing/athlete-profile-n1342151-ferreira-italo.htm,BRA,SRF,Men,Brazil,Surfing
Silver Medal,2,2021-07-27 00:00:00.0,IGARASHI K,IGARASHI Kanoa,M,../../../en/results/surfing/athlete-profile-n1316618-igarashi-kanoa.htm,JPN,SRF,Men,Japan,Surfing
Bronze Medal,3,2021-07-27 00:00:00.0,WRIGHT O,WRIGHT Owen,M,../../../en/results/surfing/athlete-profile-n1484119-wright-owen.htm,AUS,SRF,Men,,Surfing
Gold Medal,1,2021-07-27 00:00:00.0,MOORE C,MOORE Carissa,W,../../../en/results/surfing/athlete-profile-n1312770-moore-carissa.htm,USA,SRF,Women,United States of America,Surfing
Silver Medal,2,2021-07-27 00:00:00.0,BUITENDAG B,BUITENDAG Bianca,W,../../../en/results/surfing/athlete-profile-n1331359-buitendag-bianca.htm,RSA,SRF,Women,South Africa,Surfing
Bronze Medal,3,2021-07-27 00:00:00.0,TSUZUKI A,TSUZUKI Amuro,W,../../../en/results/surfing/athlete-profile-n1316619-tsuzuki-amuro.htm,JPN,SRF,Women,Japan,Surfing
Gold Medal,1,2021-07-27 00:00:00.0,RYLOV E,RYLOV Evgeny,M,../../../en/results/swimming/athlete-profile-n1431532-rylov-evgeny.htm,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Silver Medal,2,2021-07-27 00:00:00.0,KOLESNIKOV K,KOLESNIKOV Kliment,M,../../../en/results/swimming/athlete-profile-n1431507-kolesnikov-kliment.htm,ROC,SWM,Men's 100m Backstroke,ROC,Swimming
Bronze Medal,3,2021-07-27 00:00:00.0,MURPHY R,MURPHY Ryan,M,../../../en/results/swimming/athlete-profile-n1302446-murphy-ryan.htm,USA,SWM,Men's 100m Backstroke,United States of America,Swimming
Gold Medal,1,2021-07-27 00:00:00.0,DEAN T,DEAN Tom,M,../../../en/results/swimming/athlete-profile-n1444167-dean-tom.htm,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Silver Medal,2,2021-07-27 00:00:00.0,SCOTT D,SCOTT Duncan,M,../../../en/results/swimming/athlete-profile-n1444193-scott-duncan.htm,GBR,SWM,Men's 200m Freestyle,Great Britain,Swimming
Bronze Medal,3,2021-07-27 00:00:00.0,SCHEFFER F,SCHEFFER Fernando,M,../../../en/results/swimming/athlete-profile-n1328977-scheffer-fernando.htm,BRA,SWM,Men's 200m Freestyle,Brazil,Swimming
Gold Medal,1,2021-07-27 00:00:00.0,McKEOWN K,McKEOWN Kaylee,W,../../../en/results/swimming/athlete-profile-n1482870-mckeown-kaylee.htm,AUS,SWM,Women's 100m Backstroke,,Swimming
Silver Medal,2,2021-07-27 00:00:00.0,MASSE K,MASSE Kylie,W,../../../en/results/swimming/athlete-profile-n1459656-masse-kylie.htm,CAN,SWM,Women's 100m Backstroke,Canada,Swimming
Bronze Medal,3,2021-07-27 00:00:00.0,SMITH R,SMITH Regan,W,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm,USA,SWM,Women's 100m Backstroke,United States of America,Swimming
Gold Medal,1,2021-07-27 00:00:00.0,JACOBY L,JACOBY Lydia,W,../../../en/results/swimming/athlete-profile-n1790180-jacoby-lydia.htm,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Silver Medal,2,2021-07-27 00:00:00.0,SCHOENMAKER T,SCHOENMAKER Tatjana,W,../../../en/results/swimming/athlete-profile-n1323390-schoenmaker-tatjana.htm,RSA,SWM,Women's 100m Breaststroke,South Africa,Swimming
Bronze Medal,3,2021-07-27 00:00:00.0,KING L,KING Lilly,W,../../../en/results/swimming/athlete-profile-n1302307-king-lilly.htm,USA,SWM,Women's 100m Breaststroke,United States of America,Swimming
Gold Medal,1,2021-07-27 00:00:00.0,LARIN V,LARIN Vladislav,M,../../../en/results/taekwondo/athlete-profile-n1428980-larin-vladislav.htm,ROC,TKW,Men +80kg,ROC,Taekwondo
Silver Medal,2,2021-07-27 00:00:00.0,GEORGIEVSKI D,GEORGIEVSKI Dejan,M,../../../en/results/taekwondo/athlete-profile-n1428419-georgievski-dejan.htm,MKD,TKW,Men +80kg,North Macedonia,Taekwondo
Bronze Medal,3,2021-07-27 00:00:00.0,IN KD,IN Kyo Don,M,../../../en/results/taekwondo/athlete-profile-n1330603-in-kyo-don.htm,KOR,TKW,Men +80kg,Republic of Korea,Taekwondo
Bronze Medal,3,2021-07-27 00:00:00.0,ALBA CASTILLO RY,ALBA CASTILLO Rafael Yunier,M,../../../en/results/taekwondo/athlete-profile-n1302052-alba-castillo-rafael-yunier.htm,CUB,TKW,Men +80kg,Cuba,Taekwondo
Gold Medal,1,2021-07-27 00:00:00.0,MANDIC M,MANDIC Milica,W,../../../en/results/taekwondo/athlete-profile-n1344575-mandic-milica.htm,SRB,TKW,Women +67kg,Serbia,Taekwondo
Silver Medal,2,2021-07-27 00:00:00.0,LEE D,LEE Dabin,W,../../../en/results/taekwondo/athlete-profile-n1330610-lee-dabin.htm,KOR,TKW,Women +67kg,Republic of Korea,Taekwondo
Bronze Medal,3,2021-07-27 00:00:00.0,LAURIN A,LAURIN Althea,W,../../../en/results/taekwondo/athlete-profile-n1403780-laurin-althea.htm,FRA,TKW,Women +67kg,France,Taekwondo
Bronze Medal,3,2021-07-27 00:00:00.0,WALKDEN B,WALKDEN Bianca,W,../../../en/results/taekwondo/athlete-profile-n1440119-walkden-bianca.htm,GBR,TKW,Women +67kg,Great Britain,Taekwondo
Gold Medal,1,2021-07-27 00:00:00.0,DUFFY F,DUFFY Flora,W,../../../en/results/triathlon/athlete-profile-n1343910-duffy-flora.htm,BER,TRI,Women's Individual,,Triathlon
Silver Medal,2,2021-07-27 00:00:00.0,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,W,../../../en/results/triathlon/athlete-profile-n1444255-taylor-brown-georgia.htm,GBR,TRI,Women's Individual,Great Britain,Triathlon
Bronze Medal,3,2021-07-27 00:00:00.0,ZAFERES K,ZAFERES Katie,W,../../../en/results/triathlon/athlete-profile-n1320185-zaferes-katie.htm,USA,TRI,Women's Individual,United States of America,Triathlon
Gold Medal,1,2021-07-27 00:00:00.0,KUO HC,KUO Hsing-Chun,W,../../../en/results/weightlifting/athlete-profile-n1339535-kuo-hsing-chun.htm,TPE,WLF,Women's 59kg,Chinese Taipei,Weightlifting
Silver Medal,2,2021-07-27 00:00:00.0,GURYEVA P,GURYEVA Polina,W,../../../en/results/weightlifting/athlete-profile-n1454246-guryeva-polina.htm,TKM,WLF,Women's 59kg,Turkmenistan,Weightlifting
Bronze Medal,3,2021-07-27 00:00:00.0,ANDOH M,ANDOH Mikiko,W,../../../en/results/weightlifting/athlete-profile-n1316447-andoh-mikiko.htm,JPN,WLF,Women's 59kg,Japan,Weightlifting
Gold Medal,1,2021-07-27 00:00:00.0,CHARRON MG,CHARRON Maude G,W,../../../en/results/weightlifting/athlete-profile-n1402568-charron-maude-g.htm,CAN,WLF,Women's 64kg,Canada,Weightlifting
Silver Medal,2,2021-07-27 00:00:00.0,BORDIGNON G,BORDIGNON Giorgia,W,../../../en/results/weightlifting/athlete-profile-n1351146-bordignon-giorgia.htm,ITA,WLF,Women's 64kg,Italy,Weightlifting
Bronze Medal,3,2021-07-27 00:00:00.0,CHEN WH,CHEN Wen-Huei,W,../../../en/results/weightlifting/athlete-profile-n1339548-chen-wen-huei.htm,TPE,WLF,Women's 64kg,Chinese Taipei,Weightlifting
Gold Medal,1,2021-07-28 00:00:00.0,MIEZIS N,MIEZIS Nauris,M,../../../en/results/3x3-basketball/athlete-profile-n1555465-miezis-nauris.htm,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,LASMANIS K,LASMANIS Karlis,M,../../../en/results/3x3-basketball/athlete-profile-n1555466-lasmanis-karlis.htm,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,CAVARS A,CAVARS Agnis,M,../../../en/results/3x3-basketball/athlete-profile-n1555467-cavars-agnis.htm,LAT,BK3,Men,Latvia,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,KRUMINS E,KRUMINS Edgars,M,../../../en/results/3x3-basketball/athlete-profile-n1555468-krumins-edgars.htm,LAT,BK3,Men,Latvia,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,ZUEV A,ZUEV Alexander,M,../../../en/results/3x3-basketball/athlete-profile-n1431915-zuev-alexander.htm,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,KARPENKOV I,KARPENKOV Ilia,M,../../../en/results/3x3-basketball/athlete-profile-n1431916-karpenkov-ilia.htm,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,PISKLOV K,PISKLOV Kirill,M,../../../en/results/3x3-basketball/athlete-profile-n1431921-pisklov-kirill.htm,ROC,BK3,Men,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,SHAROV S,SHAROV Stanislav,M,../../../en/results/3x3-basketball/athlete-profile-n1431926-sharov-stanislav.htm,ROC,BK3,Men,ROC,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,DOMOVIC BULUT D,DOMOVIC BULUT Dusan,M,../../../en/results/3x3-basketball/athlete-profile-n1344600-domovic-bulut-dusan.htm,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,MAJSTOROVIC D,MAJSTOROVIC Dejan,M,../../../en/results/3x3-basketball/athlete-profile-n1344606-majstorovic-dejan.htm,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,RATKOV A,RATKOV Aleksandar,M,../../../en/results/3x3-basketball/athlete-profile-n1344616-ratkov-aleksandar.htm,SRB,BK3,Men,Serbia,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,VASIC M,VASIC Mihailo,M,../../../en/results/3x3-basketball/athlete-profile-n1344622-vasic-mihailo.htm,SRB,BK3,Men,Serbia,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,YOUNG J,YOUNG Jacquelyn,W,../../../en/results/3x3-basketball/athlete-profile-n1451333-young-jacquelyn.htm,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,GRAY A,GRAY Allisha,W,../../../en/results/3x3-basketball/athlete-profile-n1312756-gray-allisha.htm,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,PLUM K,PLUM Kelsey,W,../../../en/results/3x3-basketball/athlete-profile-n1312804-plum-kelsey.htm,USA,BK3,Women,United States of America,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,DOLSON S,DOLSON Stefanie,W,../../../en/results/3x3-basketball/athlete-profile-n1312828-dolson-stefanie.htm,USA,BK3,Women,United States of America,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,KOZIK Y,KOZIK Yulia,W,../../../en/results/3x3-basketball/athlete-profile-n1431897-kozik-yulia.htm,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,LOGUNOVA A,LOGUNOVA Anastasiia,W,../../../en/results/3x3-basketball/athlete-profile-n1431899-logunova-anastasiia.htm,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,FROLKINA E,FROLKINA Evgeniia,W,../../../en/results/3x3-basketball/athlete-profile-n1431907-frolkina-evgeniia.htm,ROC,BK3,Women,ROC,3x3 Basketball
Silver Medal,2,2021-07-28 00:00:00.0,FROLKINA O,FROLKINA Olga,W,../../../en/results/3x3-basketball/athlete-profile-n1431908-frolkina-olga.htm,ROC,BK3,Women,ROC,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,ZHANG Z,ZHANG Zhiting,W,../../../en/results/3x3-basketball/athlete-profile-n1405500-zhang-zhiting.htm,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,WAN J,WAN Jiyuan,W,../../../en/results/3x3-basketball/athlete-profile-n1405659-wan-jiyuan.htm,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,YANG S,YANG Shuyu,W,../../../en/results/3x3-basketball/athlete-profile-n1405668-yang-shuyu.htm,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Bronze Medal,3,2021-07-28 00:00:00.0,WANG L,WANG Lili,W,../../../en/results/3x3-basketball/athlete-profile-n1439538-wang-lili.htm,CHN,BK3,Women,People's Republic of China,3x3 Basketball
Gold Medal,1,2021-07-28 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318265-hashimoto-daiki.htm,JPN,GAR,Men's All-Around,Japan,Artistic Gymnastics
Silver Medal,2,2021-07-28 00:00:00.0,XIAO R,XIAO Ruoteng,M,../../../en/results/artistic-gymnastics/athlete-profile-n1318476-xiao-ruoteng.htm,CHN,GAR,Men's All-Around,People's Republic of China,Artistic Gymnastics
Bronze Medal,3,2021-07-28 00:00:00.0,NAGORNYY N,NAGORNYY Nikita,M,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm,ROC,GAR,Men's All-Around,ROC,Artistic Gymnastics
Gold Medal,1,2021-07-28 00:00:00.0,ROGLIC P,ROGLIC Primoz,M,../../../en/results/cycling-road/athlete-profile-n1429556-roglic-primoz.htm,SLO,CRD,Men's Individual Time Trial,Slovenia,Cycling Road
Silver Medal,2,2021-07-28 00:00:00.0,DUMOULIN T,DUMOULIN Tom,M,../../../en/results/cycling-road/athlete-profile-n1477980-dumoulin-tom.htm,NED,CRD,Men's Individual Time Trial,Netherlands,Cycling Road
Bronze Medal,3,2021-07-28 00:00:00.0,DENNIS R,DENNIS Rohan,M,../../../en/results/cycling-road/athlete-profile-n1333458-dennis-rohan.htm,AUS,CRD,Men's Individual Time Trial,,Cycling Road
Gold Medal,1,2021-07-28 00:00:00.0,van VLEUTEN A,van VLEUTEN Annemiek,W,../../../en/results/cycling-road/athlete-profile-n1467954-van-vleuten-annemiek.htm,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Silver Medal,2,2021-07-28 00:00:00.0,REUSSER M,REUSSER Marlen,W,../../../en/results/cycling-road/athlete-profile-n1466067-reusser-marlen.htm,SUI,CRD,Women's Individual Time Trial,Switzerland,Cycling Road
Bronze Medal,3,2021-07-28 00:00:00.0,van der BREGGEN A,van der BREGGEN Anna,W,../../../en/results/cycling-road/athlete-profile-n1467975-van-der-breggen-anna.htm,NED,CRD,Women's Individual Time Trial,Netherlands,Cycling Road
Gold Medal,1,2021-07-28 00:00:00.0,WANG Z,WANG Zongyuan,M,../../../en/results/diving/athlete-profile-n1329811-wang-zongyuan.htm,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,2021-07-28 00:00:00.0,XIE S,XIE Siyi,M,../../../en/results/diving/athlete-profile-n1329532-xie-siyi.htm,CHN,DIV,Men's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,2021-07-28 00:00:00.0,CAPOBIANCO A,CAPOBIANCO Andrew,M,../../../en/results/diving/athlete-profile-n1331855-capobianco-andrew.htm,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Silver Medal,2,2021-07-28 00:00:00.0,HIXON M,HIXON Michael,M,../../../en/results/diving/athlete-profile-n1331925-hixon-michael.htm,USA,DIV,Men's Synchronised 3m Springboard,United States of America,Diving
Bronze Medal,3,2021-07-28 00:00:00.0,HAUSDING P,HAUSDING Patrick,M,../../../en/results/diving/athlete-profile-n1350630-hausding-patrick.htm,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,2021-07-28 00:00:00.0,RUDIGER L,RUDIGER Lars,M,../../../en/results/diving/athlete-profile-n1350642-rudiger-lars.htm,GER,DIV,Men's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,2021-07-28 00:00:00.0,von BREDOW-WERNDL Jessica,von BREDOW-WERNDL Jessica,O,../../../en/results/equestrian/athlete-profile-n1346439-von-bredow-werndl-jessica.htm,GER,EQU,Dressage Individual,Germany,Equestrian
Silver Medal,2,2021-07-28 00:00:00.0,WERTH I,WERTH Isabell,O,../../../en/results/equestrian/athlete-profile-n1346444-werth-isabell.htm,GER,EQU,Dressage Individual,Germany,Equestrian
Bronze Medal,3,2021-07-28 00:00:00.0,DUJARDIN C,DUJARDIN Charlotte,O,../../../en/results/equestrian/athlete-profile-n1478357-dujardin-charlotte.htm,GBR,EQU,Dressage Individual,Great Britain,Equestrian
Gold Medal,1,2021-07-28 00:00:00.0,OH S,OH Sanguk,M,../../../en/results/fencing/athlete-profile-n1335663-oh-sanguk.htm,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28 00:00:00.0,KIM J,KIM Junho,M,../../../en/results/fencing/athlete-profile-n1335664-kim-junho.htm,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28 00:00:00.0,KIM J,KIM Junghwan,M,../../../en/results/fencing/athlete-profile-n1335688-kim-junghwan.htm,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-28 00:00:00.0,GU B,GU Bongil,M,../../../en/results/fencing/athlete-profile-n1335691-gu-bongil.htm,KOR,FEN,Men's Sabre Team,Republic of Korea,Fencing
Silver Medal,2,2021-07-28 00:00:00.0,MONTANO A,MONTANO Aldo,M,../../../en/results/fencing/athlete-profile-n1334786-montano-aldo.htm,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28 00:00:00.0,SAMELE L,SAMELE Luigi,M,../../../en/results/fencing/athlete-profile-n1312472-samele-luigi.htm,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28 00:00:00.0,BERRE' E,BERRE' Enrico,M,../../../en/results/fencing/athlete-profile-n1312473-berre-enrico.htm,ITA,FEN,Men's Sabre Team,Italy,Fencing
Silver Medal,2,2021-07-28 00:00:00.0,CURATOLI L,CURATOLI Luca,M,../../../en/results/fencing/athlete-profile-n1312471-curatoli-luca.htm,ITA,FEN,Men's Sabre Team,Italy,Fencing
Bronze Medal,3,2021-07-28 00:00:00.0,SZILAGYI A,SZILAGYI Aron,M,../../../en/results/fencing/athlete-profile-n1343521-szilagyi-aron.htm,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28 00:00:00.0,SZATMARI A,SZATMARI Andras,M,../../../en/results/fencing/athlete-profile-n1343522-szatmari-andras.htm,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28 00:00:00.0,DECSI T,DECSI Tamas,M,../../../en/results/fencing/athlete-profile-n1343523-decsi-tamas.htm,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Bronze Medal,3,2021-07-28 00:00:00.0,GEMESI C,GEMESI Csanad,M,../../../en/results/fencing/athlete-profile-n1343524-gemesi-csanad.htm,HUN,FEN,Men's Sabre Team,Hungary,Fencing
Gold Medal,1,2021-07-28 00:00:00.0,BEKAURI L,BEKAURI Lasha,M,../../../en/results/judo/athlete-profile-n1314161-bekauri-lasha.htm,GEO,JUD,Men -90 kg,Georgia,Judo
Silver Medal,2,2021-07-28 00:00:00.0,TRIPPEL E,TRIPPEL Eduard,M,../../../en/results/judo/athlete-profile-n1326875-trippel-eduard.htm,GER,JUD,Men -90 kg,Germany,Judo
Bronze Medal,3,2021-07-28 00:00:00.0,BOBONOV D,BOBONOV Davlat,M,../../../en/results/judo/athlete-profile-n1286502-bobonov-davlat.htm,UZB,JUD,Men -90 kg,Uzbekistan,Judo
Bronze Medal,3,2021-07-28 00:00:00.0,TOTH K,TOTH Krisztian,M,../../../en/results/judo/athlete-profile-n1350994-toth-krisztian.htm,HUN,JUD,Men -90 kg,Hungary,Judo
Gold Medal,1,2021-07-28 00:00:00.0,ARAI C,ARAI Chizuru,W,../../../en/results/judo/athlete-profile-n1315327-arai-chizuru.htm,JPN,JUD,Women -70 kg,Japan,Judo
Silver Medal,2,2021-07-28 00:00:00.0,POLLERES M,POLLERES Michaela,W,../../../en/results/judo/athlete-profile-n1330766-polleres-michaela.htm,AUT,JUD,Women -70 kg,Austria,Judo
Bronze Medal,3,2021-07-28 00:00:00.0,van DIJKE S,van DIJKE Sanne,W,../../../en/results/judo/athlete-profile-n1457609-van-dijke-sanne.htm,NED,JUD,Women -70 kg,Netherlands,Judo
Bronze Medal,3,2021-07-28 00:00:00.0,TAIMAZOVA M,TAIMAZOVA Madina,W,../../../en/results/judo/athlete-profile-n1439734-taimazova-madina.htm,ROC,JUD,Women -70 kg,ROC,Judo
Gold Medal,1,2021-07-28 00:00:00.0,BOUCHERON H,BOUCHERON Hugo,M,../../../en/results/rowing/athlete-profile-n1331445-boucheron-hugo.htm,FRA,ROW,Men's Double Sculls,France,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,ANDRODIAS M,ANDRODIAS Matthieu,M,../../../en/results/rowing/athlete-profile-n1325545-androdias-matthieu.htm,FRA,ROW,Men's Double Sculls,France,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,BROENINK S,BROENINK Stef,M,../../../en/results/rowing/athlete-profile-n1474565-broenink-stef.htm,NED,ROW,Men's Double Sculls,Netherlands,Rowing
